trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
GI-RH-to-01,09:45:00,09:45:00,redhook,1,0,0
GI-RH-to-01,09:53:00,09:53:00,govisland,2,0,0
GI-RH-to-02,10:45:00,10:45:00,redhook,1,0,0
GI-RH-to-02,10:53:00,10:53:00,govisland,2,0,0
GI-RH-to-03,11:45:00,11:45:00,redhook,1,0,0
GI-RH-to-03,11:53:00,11:53:00,govisland,2,0,0
GI-RH-to-04,12:45:00,12:45:00,redhook,1,0,0
GI-RH-to-04,12:53:00,12:53:00,govisland,2,0,0
GI-RH-to-05,13:45:00,13:45:00,redhook,1,0,0
GI-RH-to-05,13:53:00,13:53:00,govisland,2,0,0
GI-RH-to-06,14:45:00,14:45:00,redhook,1,0,0
GI-RH-to-06,14:53:00,14:53:00,govisland,2,0,0
GI-RH-to-07,15:45:00,15:45:00,redhook,1,0,0
GI-RH-to-07,15:53:00,15:53:00,govisland,2,0,0
GI-RH-tonp-01,16:45:00,16:45:00,redhook,1,1,0
GI-RH-tonp-01,16:53:00,16:53:00,govisland,2,0,0
GI-RH-tonp-02,17:45:00,17:45:00,redhook,1,1,0
GI-RH-tonp-02,17:53:00,17:53:00,govisland,2,0,0
GI-RH-from-01,10:30:00,10:30:00,govisland,1,0,0
GI-RH-from-01,10:38:00,10:38:00,redhook,2,0,0
GI-RH-from-02,11:30:00,11:30:00,govisland,1,0,0
GI-RH-from-02,11:38:00,11:38:00,redhook,2,0,0
GI-RH-from-03,12:30:00,12:30:00,govisland,1,0,0
GI-RH-from-03,12:38:00,12:38:00,redhook,2,0,0
GI-RH-from-04,13:30:00,13:30:00,govisland,1,0,0
GI-RH-from-04,13:38:00,13:38:00,redhook,2,0,0
GI-RH-from-05,14:30:00,14:30:00,govisland,1,0,0
GI-RH-from-05,14:38:00,14:38:00,redhook,2,0,0
GI-RH-from-06,15:30:00,15:30:00,govisland,1,0,0
GI-RH-from-06,15:38:00,15:38:00,redhook,2,0,0
GI-RH-from-07,16:30:00,16:30:00,govisland,1,0,0
GI-RH-from-07,16:38:00,16:38:00,redhook,2,0,0
GI-RH-from-08,17:30:00,17:30:00,govisland,1,0,0
GI-RH-from-08,17:38:00,17:38:00,redhook,2,0,0
GI-BBP-to-01,10:15:00,10:15:00,pier6,1,0,0
GI-BBP-to-01,10:25:00,10:25:00,govisland,2,0,0
GI-BBP-to-02,11:15:00,11:15:00,pier6,1,0,0
GI-BBP-to-02,11:25:00,11:25:00,govisland,2,0,0
GI-BBP-to-03,12:15:00,12:15:00,pier6,1,0,0
GI-BBP-to-03,12:25:00,12:25:00,govisland,2,0,0
GI-BBP-to-04,13:15:00,13:15:00,pier6,1,0,0
GI-BBP-to-04,13:25:00,13:25:00,govisland,2,0,0
GI-BBP-to-05,14:15:00,14:15:00,pier6,1,0,0
GI-BBP-to-05,14:25:00,14:25:00,govisland,2,0,0
GI-BBP-to-06,15:15:00,15:15:00,pier6,1,0,0
GI-BBP-to-06,15:25:00,15:25:00,govisland,2,0,0
GI-BBP-to-07,16:15:00,16:15:00,pier6,1,0,0
GI-BBP-to-07,16:25:00,16:25:00,govisland,2,0,0
GI-BBP-tonp-01,17:15:00,17:15:00,pier6,1,1,0
GI-BBP-tonp-01,17:25:00,17:25:00,govisland,2,0,0
GI-BBP-tonp-02,18:15:00,18:15:00,pier6,1,1,0
GI-BBP-tonp-02,18:25:00,18:25:00,govisland,2,0,0
GI-BBP-from-01,11:00:00,11:00:00,govisland,1,0,0
GI-BBP-from-01,11:10:00,11:10:00,pier6,2,0,0
GI-BBP-from-02,12:00:00,12:00:00,govisland,1,0,0
GI-BBP-from-02,12:10:00,12:10:00,pier6,2,0,0
GI-BBP-from-03,13:00:00,13:00:00,govisland,1,0,0
GI-BBP-from-03,13:10:00,13:10:00,pier6,2,0,0
GI-BBP-from-04,14:00:00,14:00:00,govisland,1,0,0
GI-BBP-from-04,14:10:00,14:10:00,pier6,2,0,0
GI-BBP-from-05,15:00:00,15:00:00,govisland,1,0,0
GI-BBP-from-05,15:10:00,15:10:00,pier6,2,0,0
GI-BBP-from-06,16:00:00,16:00:00,govisland,1,0,0
GI-BBP-from-06,16:10:00,16:10:00,pier6,2,0,0
GI-BBP-from-07,17:00:00,17:00:00,govisland,1,0,0
GI-BBP-from-07,17:10:00,17:10:00,pier6,2,0,0
GI-BBP-from-08,18:00:00,18:00:00,govisland,1,0,0
GI-BBP-from-08,18:10:00,18:10:00,pier6,2,0,0
