route_id,service_id,trip_id,trip_headsign,direction_id
GI-RH,gi-weekend,GI-RH-to-01,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-02,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-03,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-04,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-05,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-06,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-to-07,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-tonp-01,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-tonp-02,Governors Island / Yankee Pier,0
GI-RH,gi-weekend,GI-RH-from-01,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-02,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-03,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-04,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-05,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-06,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-07,Red Hook / Atlantic Basin,1
GI-RH,gi-weekend,GI-RH-from-08,Red Hook / Atlantic Basin,1
GI-BBP,gi-weekend,GI-BBP-to-01,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-02,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-03,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-04,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-05,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-06,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-to-07,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-tonp-01,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-tonp-02,Governors Island / Yankee Pier,0
GI-BBP,gi-weekend,GI-BBP-from-01,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-02,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-03,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-04,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-05,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-06,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-07,Brooklyn Bridge Park / Pier 6,1
GI-BBP,gi-weekend,GI-BBP-from-08,Brooklyn Bridge Park / Pier 6,1
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-01,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-02,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-03,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-04,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-05,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-06,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-07,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-08,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-09,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-10,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-11,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-12,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-13,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-14,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-15,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-16,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-17,Governors Island / Soissons Landing,0
GI-MAN,gi-mh-weekday,GI-MAN-weekday-to-18,Governors Island / Soissons Landing,0
