trip_id,arrival_time,departure_time,stop_id,stop_sequence
ikea-to-01,10:30:00,10:30:00,midtown,1
ikea-to-01,11:00:00,11:00:00,pier11,2
ikea-to-01,11:10:00,11:10:00,ikea,3
ikea-to-02,12:00:00,12:00:00,midtown,1
ikea-to-02,12:30:00,12:30:00,pier11,2
ikea-to-02,12:40:00,12:40:00,ikea,3
ikea-to-03,13:30:00,13:30:00,midtown,1
ikea-to-03,14:00:00,14:00:00,pier11,2
ikea-to-03,14:10:00,14:10:00,ikea,3
ikea-to-04,15:00:00,15:00:00,midtown,1
ikea-to-04,15:30:00,15:30:00,pier11,2
ikea-to-04,15:40:00,15:40:00,ikea,3
ikea-to-05,16:30:00,16:30:00,midtown,1
ikea-to-05,17:00:00,17:00:00,pier11,2
ikea-to-05,17:10:00,17:10:00,ikea,3
ikea-to-06,17:55:00,17:55:00,midtown,1
ikea-to-06,18:15:00,18:15:00,ikea,2
ikea-from-01,11:20:00,11:20:00,ikea,1
ikea-from-01,11:30:00,11:30:00,pier11,2
ikea-from-01,12:00:00,12:00:00,midtown,3
ikea-from-02,12:50:00,12:50:00,ikea,1
ikea-from-02,13:00:00,13:00:00,pier11,2
ikea-from-02,13:30:00,13:30:00,midtown,3
ikea-from-03,14:20:00,14:20:00,ikea,1
ikea-from-03,14:30:00,14:30:00,pier11,2
ikea-from-03,15:00:00,15:00:00,midtown,3
ikea-from-04,15:50:00,15:50:00,ikea,1
ikea-from-04,16:00:00,16:00:00,pier11,2
ikea-from-04,16:30:00,16:30:00,midtown,3
ikea-from-05,17:20:00,17:20:00,ikea,1
ikea-from-05,17:30:00,17:30:00,pier11,2
ikea-from-05,18:00:00,18:00:00,midtown,3
ikea-from-06,18:25:00,18:25:00,ikea,1
ikea-from-06,18:35:00,18:35:00,pier11,2
ikea-from-06,19:05:00,19:05:00,midtown,3
