trip_id,arrival_time,departure_time,stop_id,stop_sequence
liberty-weekday-1-06,06:30:00,06:30:00,2557120,1
liberty-weekday-1-06,06:32:00,06:32:00,2557121,2
liberty-weekday-1-06,06:45:00,06:45:00,2557122,3
liberty-weekday-0-06,06:45:00,06:45:00,2557122,1
liberty-weekday-0-06,06:55:00,06:55:00,2557121,2
liberty-weekday-0-06,07:00:00,07:00:00,2557120,3
liberty-weekday-1-07,07:30:00,07:30:00,2557120,1
liberty-weekday-1-07,07:32:00,07:32:00,2557121,2
liberty-weekday-1-07,07:45:00,07:45:00,2557122,3
liberty-weekday-0-07,07:45:00,07:45:00,2557122,1
liberty-weekday-0-07,07:55:00,07:55:00,2557121,2
liberty-weekday-0-07,08:00:00,08:00:00,2557120,3
liberty-weekday-1-08,08:30:00,08:30:00,2557120,1
liberty-weekday-1-08,08:32:00,08:32:00,2557121,2
liberty-weekday-1-08,08:45:00,08:45:00,2557122,3
liberty-weekday-0-08,08:45:00,08:45:00,2557122,1
liberty-weekday-0-08,08:55:00,08:55:00,2557121,2
liberty-weekday-0-08,09:00:00,09:00:00,2557120,3
liberty-weekday-1-09,09:30:00,09:30:00,2557120,1
liberty-weekday-1-09,09:32:00,09:32:00,2557121,2
liberty-weekday-1-09,09:45:00,09:45:00,2557122,3
liberty-weekday-0-09,09:45:00,09:45:00,2557122,1
liberty-weekday-0-09,09:55:00,09:55:00,2557121,2
liberty-weekday-0-09,10:00:00,10:00:00,2557120,3
liberty-weekday-1-10,10:30:00,10:30:00,2557120,1
liberty-weekday-1-10,10:32:00,10:32:00,2557121,2
liberty-weekday-1-10,10:45:00,10:45:00,2557122,3
liberty-weekday-0-10,10:45:00,10:45:00,2557122,1
liberty-weekday-0-10,10:55:00,10:55:00,2557121,2
liberty-weekday-0-10,11:00:00,11:00:00,2557120,3
liberty-weekday-1-11,11:30:00,11:30:00,2557120,1
liberty-weekday-1-11,11:32:00,11:32:00,2557121,2
liberty-weekday-1-11,11:45:00,11:45:00,2557122,3
liberty-weekday-0-11,11:45:00,11:45:00,2557122,1
liberty-weekday-0-11,11:55:00,11:55:00,2557121,2
liberty-weekday-0-11,12:00:00,12:00:00,2557120,3
liberty-weekday-1-12,12:30:00,12:30:00,2557120,1
liberty-weekday-1-12,12:32:00,12:32:00,2557121,2
liberty-weekday-1-12,12:45:00,12:45:00,2557122,3
liberty-weekday-0-12,12:45:00,12:45:00,2557122,1
liberty-weekday-0-12,12:55:00,12:55:00,2557121,2
liberty-weekday-0-12,13:00:00,13:00:00,2557120,3
liberty-weekday-1-13,13:30:00,13:30:00,2557120,1
liberty-weekday-1-13,13:32:00,13:32:00,2557121,2
liberty-weekday-1-13,13:45:00,13:45:00,2557122,3
liberty-weekday-0-13,13:45:00,13:45:00,2557122,1
liberty-weekday-0-13,13:55:00,13:55:00,2557121,2
liberty-weekday-0-13,14:00:00,14:00:00,2557120,3
liberty-weekday-1-14,14:30:00,14:30:00,2557120,1
liberty-weekday-1-14,14:32:00,14:32:00,2557121,2
liberty-weekday-1-14,14:45:00,14:45:00,2557122,3
liberty-weekday-0-14,14:45:00,14:45:00,2557122,1
liberty-weekday-0-14,14:55:00,14:55:00,2557121,2
liberty-weekday-0-14,15:00:00,15:00:00,2557120,3
liberty-weekday-1-15,15:30:00,15:30:00,2557120,1
liberty-weekday-1-15,15:32:00,15:32:00,2557121,2
liberty-weekday-1-15,15:45:00,15:45:00,2557122,3
liberty-weekday-0-15,15:45:00,15:45:00,2557122,1
liberty-weekday-0-15,15:55:00,15:55:00,2557121,2
liberty-weekday-0-15,16:00:00,16:00:00,2557120,3
