trip_id,arrival_time,departure_time,stop_id,stop_sequence
nyu-1-13138-0600,06:00:00,06:00:00,13138,1
nyu-1-13138-0600,06:30:00,06:30:00,13139,2
nyu-1-13138-0700,07:00:00,07:00:00,13138,1
nyu-1-13138-0700,07:30:00,07:30:00,13139,2
nyu-1-13138-0800,08:00:00,08:00:00,13138,1
nyu-1-13138-0800,08:30:00,08:30:00,13139,2
nyu-1-13138-0900,09:00:00,09:00:00,13138,1
nyu-1-13138-0900,09:30:00,09:30:00,13139,2
nyu-1-13138-1000,10:00:00,10:00:00,13138,1
nyu-1-13138-1000,10:30:00,10:30:00,13139,2
nyu-1-13138-1100,11:00:00,11:00:00,13138,1
nyu-1-13138-1100,11:30:00,11:30:00,13139,2
nyu-1-13138-1200,12:00:00,12:00:00,13138,1
nyu-1-13138-1200,12:30:00,12:30:00,13139,2
nyu-1-13138-1300,13:00:00,13:00:00,13138,1
nyu-1-13138-1300,13:30:00,13:30:00,13139,2
nyu-1-13138-1400,14:00:00,14:00:00,13138,1
nyu-1-13138-1400,14:30:00,14:30:00,13139,2
nyu-1-13138-1500,15:00:00,15:00:00,13138,1
nyu-1-13138-1500,15:30:00,15:30:00,13139,2
nyu-1-13138-1600,16:00:00,16:00:00,13138,1
nyu-1-13138-1600,16:30:00,16:30:00,13139,2
nyu-1-13138-1700,17:00:00,17:00:00,13138,1
nyu-1-13138-1700,17:30:00,17:30:00,13139,2
nyu-1-13138-1800,18:00:00,18:00:00,13138,1
nyu-1-13138-1800,18:30:00,18:30:00,13139,2
nyu-1-13138-1900,19:00:00,19:00:00,13138,1
nyu-1-13138-1900,19:30:00,19:30:00,13139,2
nyu-1-13138-2015,20:15:00,20:15:00,13138,1
nyu-1-13138-2015,20:45:00,20:45:00,13139,2
nyu-1-13139-0530,05:30:00,05:30:00,13139,1
nyu-1-13139-0530,06:00:00,06:00:00,13138,2
nyu-1-13139-0630,06:30:00,06:30:00,13139,1
nyu-1-13139-0630,07:00:00,07:00:00,13138,2
nyu-1-13139-0730,07:30:00,07:30:00,13139,1
nyu-1-13139-0730,08:00:00,08:00:00,13138,2
nyu-1-13139-0830,08:30:00,08:30:00,13139,1
nyu-1-13139-0830,09:00:00,09:00:00,13138,2
nyu-1-13139-0930,09:30:00,09:30:00,13139,1
nyu-1-13139-0930,10:00:00,10:00:00,13138,2
nyu-1-13139-1030,10:30:00,10:30:00,13139,1
nyu-1-13139-1030,11:00:00,11:00:00,13138,2
nyu-1-13139-1130,11:30:00,11:30:00,13139,1
nyu-1-13139-1130,12:00:00,12:00:00,13138,2
nyu-1-13139-1230,12:30:00,12:30:00,13139,1
nyu-1-13139-1230,13:00:00,13:00:00,13138,2
nyu-1-13139-1330,13:30:00,13:30:00,13139,1
nyu-1-13139-1330,14:00:00,14:00:00,13138,2
nyu-1-13139-1430,14:30:00,14:30:00,13139,1
nyu-1-13139-1430,15:00:00,15:00:00,13138,2
nyu-1-13139-1530,15:30:00,15:30:00,13139,1
nyu-1-13139-1530,16:00:00,16:00:00,13138,2
nyu-1-13139-1630,16:30:00,16:30:00,13139,1
nyu-1-13139-1630,17:00:00,17:00:00,13138,2
nyu-1-13139-1730,17:30:00,17:30:00,13139,1
nyu-1-13139-1730,18:00:00,18:00:00,13138,2
nyu-1-13139-1830,18:30:00,18:30:00,13139,1
nyu-1-13139-1830,19:00:00,19:00:00,13138,2
nyu-1-13139-1945,19:45:00,19:45:00,13139,1
nyu-1-13139-1945,20:15:00,20:15:00,13138,2
