shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9220-7777_185,41.4557339,-70.6002466,1
9220-7777_185,41.4660625,-70.5873892,2
9220-7777_185,41.4713685,-70.5772183,3
9220-7777_185,41.4734586,-70.5677769,4
9220-7777_185,41.4714971,-70.5553744,5
9220-7777_185,41.4529084,-70.5004427,6
9220-7777_185,41.3479978,-70.1462195,7
9220-7777_185,41.3062311,-70.1031325,8
9220-7777_185,41.295365,-70.096571,9
9220-7777_185,41.2901103,-70.0862238,10
9220-7777_185,41.2861067,-70.09633,11
9220-185_7777,41.2861067,-70.09633,1
9220-185_7777,41.2901103,-70.0862238,2
9220-185_7777,41.295365,-70.096571,3
9220-185_7777,41.3062311,-70.1031325,4
9220-185_7777,41.3479978,-70.1462195,5
9220-185_7777,41.4529084,-70.5004427,6
9220-185_7777,41.4714971,-70.5553744,7
9220-185_7777,41.4734586,-70.5677769,8
9220-185_7777,41.4713685,-70.5772183,9
9220-185_7777,41.4660625,-70.5873892,10
9220-185_7777,41.4557339,-70.6002466,11
9220-184_185,41.2861067,-70.09633,1
9220-184_185,41.2903602,-70.0867862,2
9220-184_185,41.3014848,-70.1035749,3
9220-184_185,41.4599128,-70.532385,4
9220-184_185,41.4586165,-70.5544621,5
9220-185_184,41.4586165,-70.5544621,1
9220-185_184,41.4599128,-70.532385,2
9220-185_184,41.3014848,-70.1035749,3
9220-185_184,41.2903602,-70.0867862,4
9220-185_184,41.2861067,-70.09633,5
270-186_184,41.635524,-70.919661,1
270-186_184,41.635949,-70.917475,2
270-186_184,41.635937,-70.91636,3
270-186_184,41.63562,-70.915482,4
270-186_184,41.624666,-70.905998,5
270-186_184,41.624121,-70.905311,6
270-186_184,41.607068,-70.89145,7
270-186_184,41.575902,-70.866022,8
270-186_184,41.575308,-70.86555,9
270-186_184,41.574779,-70.864863,10
270-186_184,41.574345,-70.863984,11
270-186_184,41.57404,-70.863104,12
270-186_184,41.55683,-70.801477,13
270-186_184,41.524644,-70.695906,14
270-186_184,41.522363,-70.690992,15
