trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
ss-nj-01,05:40:00,05:40:00,9819,1,0,1
ss-nj-01,06:20:00,06:20:00,170,2,1,0
ss-nj-01,06:30:00,06:30:00,9825,3,1,0
ss-nj-01,06:40:00,06:40:00,9954,4,1,0
ss-nj-02,05:50:00,05:50:00,176,1,0,1
ss-nj-02,06:30:00,06:30:00,170,2,1,0
ss-nj-02,06:50:00,06:50:00,168,3,1,0
ss-nj-03,06:15:00,06:15:00,9819,1,0,1
ss-nj-03,07:00:00,07:00:00,9825,2,1,0
ss-nj-03,07:10:00,07:10:00,170,3,1,0
ss-nj-04,06:40:00,06:40:00,176,1,0,1
ss-nj-04,07:00:00,07:00:00,175,2,0,1
ss-nj-04,07:40:00,07:40:00,170,3,1,0
ss-nj-04,08:00:00,08:00:00,168,4,1,0
ss-nj-05,07:25:00,07:25:00,9819,1,0,1
ss-nj-05,08:05:00,08:05:00,170,2,1,0
ss-nj-05,08:15:00,08:15:00,9825,3,1,0
ss-nj-05,08:25:00,08:25:00,9954,4,1,0
ss-nj-05,08:40:00,08:40:00,8306,5,1,0
ss-nj-06,07:30:00,07:30:00,175,1,0,1
ss-nj-06,08:10:00,08:10:00,170,2,1,0
ss-nj-06,08:30:00,08:30:00,168,3,1,0
ss-nj-07,08:00:00,08:00:00,176,1,0,1
ss-nj-07,08:45:00,08:45:00,170,2,1,0
ss-nj-07,09:00:00,09:00:00,168,3,1,0
ss-nj-08,08:05:00,08:05:00,9819,1,0,1
ss-nj-08,08:50:00,08:50:00,170,2,1,0
ss-nj-08,09:00:00,09:00:00,9825,3,1,0
ss-nj-08,09:10:00,09:10:00,9954,4,1,0
ss-nj-08,09:20:00,09:20:00,8306,5,1,0
ss-nj-09,09:10:00,09:10:00,175,1,0,1
ss-nj-09,09:50:00,09:50:00,170,2,1,0
ss-nj-09,10:05:00,10:05:00,168,3,1,0
ss-nj-10,10:15:00,10:15:00,175,1,0,1
ss-nj-10,11:00:00,11:00:00,170,2,1,0
ss-nj-10,11:15:00,11:15:00,168,3,1,0
ss-nj-11,12:00:00,12:00:00,176,1,0,1
ss-nj-11,13:00:00,13:00:00,168,2,1,0
