service_id,date,exception_type
holiday,20260101,1
weekday,20260101,2
holiday,20260119,1
weekday,20260119,2
holiday,20260216,1
weekday,20260216,2
holiday,20260525,1
weekday,20260525,2
holiday,20260619,1
weekday,20260619,2
holiday,20260907,1
weekday,20260907,2
holiday,20261126,1
weekday,20261126,2
holiday,20261225,1
weekday,20261225,2
holiday,20270101,1
weekday,20270101,2
holiday,20270118,1
weekday,20270118,2
holiday,20270215,1
weekday,20270215,2
holiday,20270531,1
weekday,20270531,2
holiday,20270906,1
weekday,20270906,2
holiday,20271125,1
weekday,20271125,2
holiday,20271225,1
weekday,20271225,2
holiday,20280101,1
weekday,20280101,2
holiday,20280117,1
weekday,20280117,2
