trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
weekendstgeorge000000,00:00:00,00:00:00,stgeorge,1,,,,,
weekendstgeorge000000,00:25:00,00:25:00,whitehall,2,,,,,
weekendstgeorge003000,00:30:00,00:30:00,stgeorge,1,,,,,
weekendstgeorge003000,00:55:00,00:55:00,whitehall,2,,,,,
weekendstgeorge010000,01:00:00,01:00:00,stgeorge,1,,,,,
weekendstgeorge010000,01:25:00,01:25:00,whitehall,2,,,,,
weekendstgeorge013000,01:30:00,01:30:00,stgeorge,1,,,,,
weekendstgeorge013000,01:55:00,01:55:00,whitehall,2,,,,,
weekendstgeorge020000,02:00:00,02:00:00,stgeorge,1,,,,,
weekendstgeorge020000,02:25:00,02:25:00,whitehall,2,,,,,
weekendstgeorge023000,02:30:00,02:30:00,stgeorge,1,,,,,
weekendstgeorge023000,02:55:00,02:55:00,whitehall,2,,,,,
weekendstgeorge030000,03:00:00,03:00:00,stgeorge,1,,,,,
weekendstgeorge030000,03:25:00,03:25:00,whitehall,2,,,,,
weekendstgeorge033000,03:30:00,03:30:00,stgeorge,1,,,,,
weekendstgeorge033000,03:55:00,03:55:00,whitehall,2,,,,,
weekendstgeorge040000,04:00:00,04:00:00,stgeorge,1,,,,,
weekendstgeorge040000,04:25:00,04:25:00,whitehall,2,,,,,
weekendstgeorge043000,04:30:00,04:30:00,stgeorge,1,,,,,
weekendstgeorge043000,04:55:00,04:55:00,whitehall,2,,,,,
weekendstgeorge050000,05:00:00,05:00:00,stgeorge,1,,,,,
weekendstgeorge050000,05:25:00,05:25:00,whitehall,2,,,,,
weekendstgeorge053000,05:30:00,05:30:00,stgeorge,1,,,,,
weekendstgeorge053000,05:55:00,05:55:00,whitehall,2,,,,,
weekendstgeorge060000,06:00:00,06:00:00,stgeorge,1,,,,,
weekendstgeorge060000,06:25:00,06:25:00,whitehall,2,,,,,
weekendstgeorge063000,06:30:00,06:30:00,stgeorge,1,,,,,
weekendstgeorge063000,06:55:00,06:55:00,whitehall,2,,,,,
weekendstgeorge070000,07:00:00,07:00:00,stgeorge,1,,,,,
weekendstgeorge070000,07:25:00,07:25:00,whitehall,2,,,,,
weekendstgeorge073000,07:30:00,07:30:00,stgeorge,1,,,,,
weekendstgeorge073000,07:55:00,07:55:00,whitehall,2,,,,,
weekendstgeorge080000,08:00:00,08:00:00,stgeorge,1,,,,,
weekendstgeorge080000,08:25:00,08:25:00,whitehall,2,,,,,
weekendstgeorge083000,08:30:00,08:30:00,stgeorge,1,,,,,
weekendstgeorge083000,08:55:00,08:55:00,whitehall,2,,,,,
weekendstgeorge090000,09:00:00,09:00:00,stgeorge,1,,,,,
weekendstgeorge090000,09:25:00,09:25:00,whitehall,2,,,,,
weekendstgeorge093000,09:30:00,09:30:00,stgeorge,1,,,,,
weekendstgeorge093000,09:55:00,09:55:00,whitehall,2,,,,,
weekendstgeorge100000,10:00:00,10:00:00,stgeorge,1,,,,,
weekendstgeorge100000,10:25:00,10:25:00,whitehall,2,,,,,
weekendstgeorge103000,10:30:00,10:30:00,stgeorge,1,,,,,
weekendstgeorge103000,10:55:00,10:55:00,whitehall,2,,,,,
weekendstgeorge110000,11:00:00,11:00:00,stgeorge,1,,,,,
weekendstgeorge110000,11:25:00,11:25:00,whitehall,2,,,,,
weekendstgeorge113000,11:30:00,11:30:00,stgeorge,1,,,,,
weekendstgeorge113000,11:55:00,11:55:00,whitehall,2,,,,,
weekendstgeorge120000,12:00:00,12:00:00,stgeorge,1,,,,,
weekendstgeorge120000,12:25:00,12:25:00,whitehall,2,,,,,
weekendstgeorge123000,12:30:00,12:30:00,stgeorge,1,,,,,
weekendstgeorge123000,12:55:00,12:55:00,whitehall,2,,,,,
weekendstgeorge130000,13:00:00,13:00:00,stgeorge,1,,,,,
weekendstgeorge130000,13:25:00,13:25:00,whitehall,2,,,,,
weekendstgeorge133000,13:30:00,13:30:00,stgeorge,1,,,,,
weekendstgeorge133000,13:55:00,13:55:00,whitehall,2,,,,,
weekendstgeorge140000,14:00:00,14:00:00,stgeorge,1,,,,,
weekendstgeorge140000,14:25:00,14:25:00,whitehall,2,,,,,
weekendstgeorge143000,14:30:00,14:30:00,stgeorge,1,,,,,
weekendstgeorge143000,14:55:00,14:55:00,whitehall,2,,,,,
weekendstgeorge150000,15:00:00,15:00:00,stgeorge,1,,,,,
weekendstgeorge150000,15:25:00,15:25:00,whitehall,2,,,,,
