route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
SIF,weekday,weekdaystgeorge000000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge003000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge010000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge013000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge020000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge023000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge030000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge033000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge040000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge043000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge050000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge053000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge060000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge062000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge064000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge070000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge071500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge073000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge074500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge080000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge081500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge083000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge084500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge090000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge093000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge100000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge103000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge110000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge113000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge120000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge123000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge130000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge133000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge140000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge143000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge150000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge153000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge155000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge161000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge163000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge165000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge171000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge173000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge174500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge180000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge181500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge183000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge184500,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge190000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge193000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge200000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge203000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge210000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge213000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge220000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge223000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge230000,,,,stgeorge,1,1
SIF,weekday,weekdaystgeorge233000,,,,stgeorge,1,1
SIF,weekday,weekdaywhitehall000000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall003000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall010000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall013000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall020000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall023000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall030000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall033000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall040000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall043000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall050000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall053000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall060000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall063000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall065000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall071000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall073000,,,,whitehall,1,1
SIF,weekday,weekdaywhitehall074500,,,,whitehall,1,1
