shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
NY,40.701617,-74.016198,1,0
NY,40.700125,-74.018756,2,0.272
NY,40.699661,-74.019915,3,0.383
NY,40.696961,-74.024164,4,0.85
NY,40.693077,-74.02961,5,1.48
NY,40.690435,-74.034143,6,1.962
NY,40.688938,-74.037018,7,2.256
NY,40.687246,-74.041353,8,2.667
NY,40.686486,-74.042394,9,2.789
NY,40.6864,-74.044528,10,2.97
NY,40.686398,-74.046037,11,3.097
NY,40.687337,-74.04753,12,3.26
NY,40.688745,-74.047939,13,3.421
NY,40.689361,-74.048026,14,3.489
NY,40.689629,-74.047929,15,3.52
NY,40.689834,-74.047706,16,3.55
NY,40.689621,-74.047769,17,3.574
NY,40.689478,-74.047864,18,3.592
NY,40.689288,-74.047876,19,3.613
NY,40.689084,-74.047865,20,3.636
NY,40.688816,-74.047779,21,3.667
NY,40.68858,-74.047747,22,3.693
NY,40.688385,-74.047661,23,3.716
NY,40.687647,-74.04733,24,3.802
NY,40.687286,-74.046631,25,3.874
NY,40.686924,-74.046,26,3.94
NY,40.686859,-74.045485,27,3.985
NY,40.686924,-74.044283,28,4.086
NY,40.686957,-74.043339,29,4.166
NY,40.686973,-74.042288,30,4.254
NY,40.687559,-74.041858,31,4.329
NY,40.688161,-74.041622,32,4.399
NY,40.689853,-74.041193,33,4.59
NY,40.69122,-74.040507,34,4.753
NY,40.692261,-74.039219,35,4.912
NY,40.693139,-74.038103,36,5.047
NY,40.693953,-74.036987,37,5.178
NY,40.694796,-74.036822,38,5.273
NY,40.695925,-74.037671,39,5.417
NY,40.697866,-74.039713,40,5.693
NY,40.698171,-74.040118,41,5.741
NY,40.698578,-74.040528,42,5.798
NY,40.698903,-74.040432,43,5.835
NY,40.698748,-74.040374,44,5.853
NY,40.698281,-74.039966,45,5.916
NY,40.697923,-74.039129,46,5.997
NY,40.696362,-74.03655,47,6.275
NY,40.696493,-74.034361,48,6.46
NY,40.696981,-74.030756,49,6.769
NY,40.697865,-74.026974,50,7.102
NY,40.699394,-74.022682,51,7.502
NY,40.70064,-74.019401,52,7.811
NY,40.701535,-74.01732,53,8.013
NY,40.701552,-74.016452,54,8.086
NJ,40.707675,-74.033775,1,0
NJ,40.7074174420977,-74.0325758176343,2,0.105
NJ,40.7070157475626,-74.0318659656993,3,0.18
NJ,40.7058376015237,-74.0314485738133,4,0.315
NJ,40.7053163807962,-74.0314880542886,5,0.373
NJ,40.6974581138582,-74.0348252528268,6,1.291
NJ,40.6966209172158,-74.0365752078744,7,1.466
NJ,40.6968331422889,-74.0375964560353,8,1.555
NJ,40.6973403959934,-74.0386727426432,9,1.662
NJ,40.6978812686188,-74.0395651794443,10,1.758
NJ,40.698201,-74.040076,11,1.814
NJ,40.696118,-74.03793,12,2.108
NJ,40.693483,-74.036128,13,2.438
NJ,40.687495,-74.0410629999999,14,3.223
NJ,40.686486,-74.042394,15,3.382
NJ,40.686128,-74.043853,16,3.511
NJ,40.686128,-74.045226,17,3.627
NJ,40.687235,-74.047372,18,3.846
NJ,40.688341,-74.048316,19,3.992
NJ,40.689703,-74.04705,20,4.178
NJ,40.688341,-74.048316,21,4.363
NJ,40.686398,-74.046037,22,4.652
NJ,40.686486,-74.042394,23,4.959
NJ,40.687495,-74.0410629999999,24,5.118
NJ,40.693483,-74.036128,25,5.903
NJ,40.698438,-74.034192,26,6.478
NJ,40.7054469241152,-74.0315467793085,27,7.288
NJ,40.7058727847778,-74.0314708382263,28,7.336
NJ,40.7070902539463,-74.0317614927493,29,7.474
NJ,40.7075202617052,-74.0325644778256,30,7.557
NJ,40.707675,-74.033775,31,7.66
LSPClr,40.68986,-74.04772,1,0
LSPClr,40.68983,-74.0478,2,0.008
LSPClr,40.68971,-74.04797,3,0.027
LSPClr,40.68952,-74.04808,4,0.05
LSPClr,40.68933,-74.04815,5,0.072
LSPClr,40.68915,-74.0482,6,0.093
LSPClr,40.68891,-74.04823,7,0.119
LSPClr,40.68875,-74.04823,8,0.137
LSPClr,40.68859,-74.04819,9,0.155
LSPClr,40.6884,-74.04814,10,0.177
LSPClr,40.68821,-74.04805,11,0.199
LSPClr,40.68802,-74.04792,12,0.223
LSPClr,40.68785,-74.04778,13,0.245
LSPClr,40.68767,-74.04765,14,0.268
LSPClr,40.6875,-74.0475,15,0.291
LSPClr,40.68737,-74.04736,16,0.31
LSPClr,40.6872,-74.04716,17,0.335
LSPClr,40.68711,-74.04706,18,0.348
LSPClr,40.68703,-74.04696,19,0.36
LSPClr,40.68687,-74.04673,20,0.387
LSPClr,40.68673,-74.04654,21,0.409
LSPClr,40.68656,-74.0463,22,0.437
LSPClr,40.68644,-74.04608,23,0.459
LSPClr,40.68636,-74.04586,24,0.48
LSPClr,40.6863,-74.0456,25,0.503
