trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Battery Park Loop_T01,08:30:00,08:30:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T01,08:55:00,08:55:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T01,09:10:00,09:10:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T01,09:20:00,09:20:00,BP,4,,,,,,8.086,1
Battery Park Loop_T02,08:55:00,08:55:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T02,09:20:00,09:20:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T02,09:35:00,09:35:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T02,09:45:00,09:45:00,BP,4,,,,,,8.086,1
Battery Park Loop_T03,09:15:00,09:15:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T03,09:45:00,09:45:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T03,10:05:00,10:05:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T03,10:15:00,10:15:00,BP,4,,,,,,8.086,1
Battery Park Loop_T04,09:40:00,09:40:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T04,10:10:00,10:10:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T04,10:30:00,10:30:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T04,10:40:00,10:40:00,BP,4,,,,,,8.086,1
Battery Park Loop_T05,10:00:00,10:00:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T05,10:30:00,10:30:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T05,10:50:00,10:50:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T05,11:00:00,11:00:00,BP,4,,,,,,8.086,1
Battery Park Loop_T06,10:25:00,10:25:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T06,10:55:00,10:55:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T06,11:15:00,11:15:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T06,11:25:00,11:25:00,BP,4,,,,,,8.086,1
Battery Park Loop_T07,10:45:00,10:45:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T07,11:15:00,11:15:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T07,11:35:00,11:35:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T07,11:45:00,11:45:00,BP,4,,,,,,8.086,1
Battery Park Loop_T08,11:10:00,11:10:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T08,11:40:00,11:40:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T08,12:00:00,12:00:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T08,12:10:00,12:10:00,BP,4,,,,,,8.086,1
Battery Park Loop_T09,11:30:00,11:30:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T09,12:00:00,12:00:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T09,12:20:00,12:20:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T09,12:30:00,12:30:00,BP,4,,,,,,8.086,1
Battery Park Loop_T10,11:55:00,11:55:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T10,12:25:00,12:25:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T10,12:45:00,12:45:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T10,12:55:00,12:55:00,BP,4,,,,,,8.086,1
Battery Park Loop_T11,12:15:00,12:15:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T11,12:45:00,12:45:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T11,13:05:00,13:05:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T11,13:15:00,13:15:00,BP,4,,,,,,8.086,1
Battery Park Loop_T12,12:40:00,12:40:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T12,13:10:00,13:10:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T12,13:30:00,13:30:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T12,13:40:00,13:40:00,BP,4,,,,,,8.086,1
Battery Park Loop_T13,13:00:00,13:00:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T13,13:30:00,13:30:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T13,13:50:00,13:50:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T13,14:00:00,14:00:00,BP,4,,,,,,8.086,1
Battery Park Loop_T14,13:25:00,13:25:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T14,13:55:00,13:55:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T14,14:15:00,14:15:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T14,14:25:00,14:25:00,BP,4,,,,,,8.086,1
Battery Park Loop_T15,13:45:00,13:45:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T15,14:15:00,14:15:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T15,14:35:00,14:35:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T15,14:45:00,14:45:00,BP,4,,,,,,8.086,1
Battery Park Loop_T16,14:10:00,14:10:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T16,14:40:00,14:40:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T16,15:00:00,15:00:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T16,15:10:00,15:10:00,BP,4,,,,,,8.086,1
Battery Park Loop_T17,14:30:00,14:30:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T17,15:00:00,15:00:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T17,15:20:00,15:20:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T17,15:30:00,15:30:00,BP,4,,,,,,8.086,1
Battery Park Loop_T18,14:55:00,14:55:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T18,15:25:00,15:25:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T18,15:45:00,15:45:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T18,15:55:00,15:55:00,BP,4,,,,,,8.086,1
Battery Park Loop_T19,15:15:00,15:15:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T19,15:45:00,15:45:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T19,16:05:00,16:05:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T19,16:15:00,16:15:00,BP,4,,,,,,8.086,1
Battery Park Loop_T20,15:40:00,15:40:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T20,16:10:00,16:10:00,LI,2,Ellis Island,,,,,3.55,1
Battery Park Loop_T20,16:30:00,16:30:00,EI,3,Battery Park,,,,,5.835,1
Battery Park Loop_T20,16:40:00,16:40:00,BP,4,,,,,,8.086,1
Battery Park Loop_T21,16:00:00,16:00:00,BP,1,Liberty Island,,,,,0,1
Battery Park Loop_T21,16:30:00,16:30:00,LI,2,Ellis Island,,,,,3.55,1
