trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
305,06:06:00,06:06:00,4,1,,0,0,1
305,06:09:00,06:09:00,17,2,,0,0,1
306,06:31:00,06:31:00,4,1,,0,0,1
306,06:34:00,06:34:00,17,2,,0,0,1
307,06:27:00,06:27:00,87,1,,0,0,1
307,06:35:00,06:35:00,20,2,,0,0,1
307,06:47:00,06:47:00,19,3,,0,0,1
307,06:56:00,06:56:00,4,4,,0,0,1
307,06:59:00,06:59:00,17,5,,0,0,1
308,06:39:00,06:39:00,87,1,,0,0,1
308,06:47:00,06:47:00,20,2,,0,0,1
308,06:57:00,06:57:00,8,3,,0,0,1
308,07:07:00,07:07:00,18,4,,0,0,1
308,07:11:00,07:11:00,17,5,,0,0,1
309,06:51:00,06:51:00,87,1,,0,0,1
309,06:59:00,06:59:00,20,2,,0,0,1
309,07:11:00,07:11:00,19,3,,0,0,1
309,07:20:00,07:20:00,4,4,,0,0,1
309,07:23:00,07:23:00,17,5,,0,0,1
310,07:03:00,07:03:00,87,1,,0,0,1
310,07:11:00,07:11:00,20,2,,0,0,1
310,07:21:00,07:21:00,8,3,,0,0,1
310,07:31:00,07:31:00,18,4,,0,0,1
310,07:35:00,07:35:00,17,5,,0,0,1
311,07:16:00,07:16:00,87,1,,0,0,1
311,07:24:00,07:24:00,20,2,,0,0,1
311,07:36:00,07:36:00,19,3,,0,0,1
311,07:45:00,07:45:00,4,4,,0,0,1
311,07:48:00,07:48:00,17,5,,0,0,1
312,07:28:00,07:28:00,87,1,,0,0,1
312,07:36:00,07:36:00,20,2,,0,0,1
312,07:46:00,07:46:00,8,3,,0,0,1
312,07:56:00,07:56:00,18,4,,0,0,1
312,08:00:00,08:00:00,17,5,,0,0,1
313,07:41:00,07:41:00,87,1,,0,0,1
313,07:49:00,07:49:00,20,2,,0,0,1
313,08:01:00,08:01:00,19,3,,0,0,1
313,08:10:00,08:10:00,4,4,,0,0,1
313,08:13:00,08:13:00,17,5,,0,0,1
314,07:53:00,07:53:00,87,1,,0,0,1
314,08:01:00,08:01:00,20,2,,0,0,1
314,08:11:00,08:11:00,8,3,,0,0,1
314,08:21:00,08:21:00,18,4,,0,0,1
314,08:25:00,08:25:00,17,5,,0,0,1
315,08:05:00,08:05:00,87,1,,0,0,1
315,08:13:00,08:13:00,20,2,,0,0,1
315,08:25:00,08:25:00,19,3,,0,0,1
315,08:34:00,08:34:00,4,4,,0,0,1
315,08:37:00,08:37:00,17,5,,0,0,1
316,08:17:00,08:17:00,87,1,,0,0,1
316,08:25:00,08:25:00,20,2,,0,0,1
316,08:35:00,08:35:00,8,3,,0,0,1
316,08:45:00,08:45:00,18,4,,0,0,1
316,08:49:00,08:49:00,17,5,,0,0,1
317,08:30:00,08:30:00,87,1,,0,0,1
317,08:38:00,08:38:00,20,2,,0,0,1
317,08:50:00,08:50:00,19,3,,0,0,1
317,08:59:00,08:59:00,4,4,,0,0,1
317,09:02:00,09:02:00,17,5,,0,0,1
318,08:42:00,08:42:00,87,1,,0,0,1
