route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,305,"East 34th Street",1101,1,11,141
"ER",1,306,"East 34th Street",1301,1,13,141
"ER",1,307,"East 34th Street (E R A)",1501,1,15,133
"ER",1,308,"East 34th Street (E R B)",1601,1,16,134
"ER",1,309,"East 34th Street (E R A)",1103,1,11,133
"ER",1,310,"East 34th Street (E R B)",1202,1,12,134
"ER",1,311,"East 34th Street (E R A)",1303,1,13,133
"ER",1,312,"East 34th Street (E R B)",1402,1,14,134
"ER",1,313,"East 34th Street (E R A)",1503,1,15,133
"ER",1,314,"East 34th Street (E R B)",1603,1,16,134
"ER",1,315,"East 34th Street (E R A)",1105,1,11,133
"ER",1,316,"East 34th Street (E R B)",1204,1,12,134
"ER",1,317,"East 34th Street (E R A)",1305,1,13,133
"ER",1,318,"East 34th Street (E R B)",1404,1,14,134
"ER",1,319,"East 34th Street (E R A)",1505,1,15,133
"ER",1,320,"East 34th Street (E R B)",1605,1,16,134
"ER",1,321,"East 34th Street (E R A)",1107,1,11,133
"ER",1,322,"East 34th Street (E R B)",1206,1,12,134
"ER",1,323,"East 34th Street (E R A)",1307,1,13,133
"ER",1,324,"East 34th Street (E R B)",1406,1,14,134
"ER",1,325,"East 34th Street",1607,1,16,9
"ER",1,326,"East 34th Street",1208,1,12,9
"ER",1,327,"East 34th Street",1309,1,13,9
"ER",1,328,"East 34th Street",1609,1,16,9
"ER",1,329,"East 34th Street",1210,1,12,9
"ER",1,330,"East 34th Street",1311,1,13,9
"ER",1,331,"East 34th Street",1611,1,16,9
"ER",1,332,"East 34th Street",1212,1,12,9
"ER",1,333,"East 34th Street",1313,1,13,9
"ER",1,334,"East 34th Street (E R B)",1109,1,11,134
"ER",1,335,"East 34th Street (E R A)",1613,1,16,133
"ER",1,336,"East 34th Street (E R B)",1407,1,14,134
"ER",1,337,"East 34th Street (E R A)",1507,1,15,133
"ER",1,338,"East 34th Street (E R B)",1214,1,12,134
"ER",1,339,"East 34th Street (E R A)",1315,1,13,133
"ER",1,340,"East 34th Street (E R B)",1111,1,11,134
"ER",1,341,"East 34th Street (E R A)",1615,1,16,133
"ER",1,342,"East 34th Street (E R B)",1409,1,14,134
"ER",1,343,"East 34th Street (E R A)",1509,1,15,133
"ER",1,344,"East 34th Street (E R B)",1216,1,12,134
"ER",1,345,"East 34th Street (E R A)",1317,1,13,133
"ER",1,346,"East 34th Street (E R B)",1113,1,11,134
"ER",1,347,"East 34th Street (E R A)",1617,1,16,133
"ER",1,348,"East 34th Street (E R B)",1411,1,14,134
"ER",1,349,"East 34th Street",1511,1,15,9
"ER",1,350,"East 34th Street",1218,1,12,9
"ER",1,351,"East 34th Street",1619,1,16,9
"ER",1,352,"East 34th Street",1513,1,15,9
"ER",1,353,"Wall St./Pier 11 (E R A)",1102,0,11,69
"ER",1,354,"Wall St/Pier 11 (E R B)",1201,0,12,135
"ER",1,355,"Wall St./Pier 11 (E R A)",1302,0,13,69
"ER",1,356,"Wall St/Pier 11 (E R B)",1401,0,14,135
"ER",1,357,"Wall St./Pier 11 (E R A)",1502,0,15,69
"ER",1,358,"Wall St/Pier 11 (E R B)",1602,0,16,135
"ER",1,359,"Wall St./Pier 11 (E R A)",1104,0,11,69
"ER",1,360,"Wall St/Pier 11 (E R B)",1203,0,12,135
"ER",1,361,"Wall St./Pier 11 (E R A)",1304,0,13,69
"ER",1,362,"Wall St/Pier 11 (E R B)",1403,0,14,135
"ER",1,363,"Wall St./Pier 11 (E R A)",1504,0,15,69
"ER",1,364,"Wall St/Pier 11 (E R B)",1604,0,16,135
"ER",1,365,"Wall St./Pier 11 (E R A)",1106,0,11,69
"ER",1,366,"Wall St/Pier 11 (E R B)",1205,0,12,135
"ER",1,367,"Wall St./Pier 11 (E R A)",1306,0,13,69
"ER",1,368,"Wall St/Pier 11 (E R B)",1405,0,14,135
"ER",1,369,"Wall St./Pier 11 (E R A)",1506,0,15,69
"ER",1,370,"Wall St/Pier 11 (E R B)",1606,0,16,135
"ER",1,371,"Wall St./Pier 11 (E R A)",1108,0,11,69
"ER",1,397,"Wall St/Pier 11 (E R B)",1207,0,12,135
"ER",1,398,"Wall St./Pier 11",1308,0,13,12
"ER",1,400,"Wall St./Pier 11",1608,0,16,12
"ER",1,401,"Wall St./Pier 11",1209,0,12,12
"ER",1,402,"Wall St./Pier 11",1310,0,13,12
"ER",1,403,"Wall St./Pier 11",1610,0,16,12
"ER",1,404,"Wall St./Pier 11",1211,0,12,12
"ER",1,405,"Wall St./Pier 11",1312,0,13,12
"ER",1,406,"Wall St./Pier 11",1612,0,16,12
"ER",1,407,"Wall St./Pier 11",1213,0,12,12
"ER",1,408,"Wall St./Pier 11 (E R A)",1314,0,13,69
"ER",1,409,"Wall St/Pier 11 (E R B)",1110,0,11,135
"ER",1,410,"Wall St./Pier 11 (E R A)",1614,0,16,69
"ER",1,411,"Wall St/Pier 11 (E R B)",1408,0,14,135
"ER",1,413,"Wall St./Pier 11 (E R A)",1508,0,15,69
"ER",1,414,"Wall St/Pier 11 (E R B)",1215,0,12,135
"ER",1,415,"Wall St./Pier 11 (E R A)",1316,0,13,69
"ER",1,416,"Wall St/Pier 11 (E R B)",1112,0,11,135
"ER",1,417,"Wall St./Pier 11 (E R A)",1616,0,16,69
"ER",1,418,"Wall St/Pier 11 (E R B)",1410,0,14,135
"ER",1,419,"Wall St./Pier 11 (E R A)",1510,0,15,69
"ER",1,420,"Wall St/Pier 11 (E R B)",1217,0,12,135
"ER",1,421,"Wall St./Pier 11 (E R A)",1318,0,13,69
"ER",1,422,"Wall St/Pier 11 (E R B)",1114,0,11,135
"ER",1,423,"Wall St./Pier 11 (E R A)",1618,0,16,69
"ER",1,424,"Wall St./Pier 11",1412,0,14,12
"ER",1,425,"Wall St./Pier 11",1512,0,15,12
"ER",1,426,"Wall St./Pier 11",1219,0,12,12
"ER",2,437,"East 34th Street (E R A)",1301,1,13,133
"ER",2,448,"East 34th Street (E R B)",1102,1,11,134
"ER",2,449,"East 34th Street (E R A)",1202,1,12,133
"ER",2,450,"East 34th Street (E R A)",1303,1,13,133
"ER",2,451,"East 34th Street (E R B)",1501,1,15,134
"ER",2,452,"East 34th Street (E R A)",1104,1,11,133
"ER",2,453,"East 34th Street (E R B)",1601,1,16,134
"ER",2,454,"East 34th Street (E R A)",1701,1,17,133
"ER",2,455,"East 34th Street (E R B)",1204,1,12,134
"ER",2,456,"East 34th Street (E R A)",1402,1,14,133
"ER",2,457,"East 34th Street (E R B)",1305,1,13,134
"ER",2,458,"East 34th Street (E R A)",1503,1,15,133
"ER",2,459,"East 34th Street (E R B)",1106,1,11,134
"ER",2,460,"East 34th Street (E R A)",1603,1,16,133
"ER",2,461,"East 34th Street (E R B)",1703,1,17,134
"ER",2,462,"East 34th Street (E R A)",1206,1,12,133
"ER",2,463,"East 34th Street (E R B)",1404,1,14,134
"ER",2,464,"East 34th Street (E R A)",1307,1,13,133
"ER",2,465,"East 34th Street (E R B)",1505,1,15,134
"ER",2,466,"East 34th Street (E R A)",1108,1,11,133
"ER",2,467,"East 34th Street (E R B)",1605,1,16,134
"ER",2,468,"East 34th Street (E R A)",1705,1,17,133
"ER",2,469,"East 34th Street (E R B)",1208,1,12,134
"ER",2,470,"East 34th Street (E R A)",1406,1,14,133
"ER",2,471,"East 34th Street (E R B)",1309,1,13,134
