service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
(Weekday),1,1,1,1,1,0,0,20251006,20261001
(Weekday) TEMP BUS,1,1,1,1,1,0,0,20251006,20251010
(No Sunday),1,1,1,1,1,1,0,20251006,20251011
(MTuWTh) TEMP BUS,1,1,1,1,0,0,0,20251006,20251009
(MTuWTh),1,1,1,1,0,0,0,20251006,20261001
"M,F",1,0,0,0,1,0,0,20251006,20251010
(TuWThF),0,1,1,1,1,0,0,20251007,20261001
(TuWTh),0,1,1,1,0,0,0,20251007,20261001
(Friday only),0,0,0,0,1,0,0,20251010,20260925
Mon only,1,0,0,0,0,0,0,20251013,20260928
(Weekend),0,0,0,0,0,1,1,20251011,20260927
(Saturday),0,0,0,0,0,1,0,20251011,20260926
(Sunday only),0,0,0,0,0,0,1,20251012,20260927
