service_id,date,exception_type
(Weekday),20251127,2
(Weekday),20251225,2
(Weekday),20260101,2
(Weekday),20260119,2
(Weekday),20260216,2
(Weekday),20260525,2
(Weekday),20260907,2
(MTuWTh),20251127,2
(MTuWTh),20251225,2
(MTuWTh),20260101,2
(MTuWTh),20260119,2
(MTuWTh),20260216,2
(MTuWTh),20260525,2
(MTuWTh),20260907,2
(TuWThF),20251127,2
(TuWThF),20251225,2
(TuWThF),20260101,2
(TuWTh),20251127,2
(TuWTh),20251225,2
(TuWTh),20260101,2
Mon only,20260119,2
Mon only,20260216,2
Mon only,20260525,2
Mon only,20260907,2
(Weekend),20260704,2
(Saturday),20260704,2
