trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
t_5897048_b_83015_tn_1,06:07:00,06:07:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_1,06:15:00,06:15:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_2,06:37:00,06:37:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_2,06:45:00,06:45:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_3,07:07:00,07:07:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_3,07:15:00,07:15:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_4,07:37:00,07:37:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_4,07:45:00,07:45:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_5,08:07:00,08:07:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_5,08:15:00,08:15:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_6,08:37:00,08:37:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_6,08:45:00,08:45:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_7,09:07:00,09:07:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_7,09:15:00,09:15:00,2439146,1,,0,0,3.8361,1,,
t_5897048_b_83015_tn_8,09:37:00,09:37:00,2439141,0,,0,0,0.0,1,,
t_5897048_b_83015_tn_8,09:45:00,09:45:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_1,15:22:00,15:22:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_1,15:30:00,15:30:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_2,15:52:00,15:52:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_2,16:00:00,16:00:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_3,16:22:00,16:22:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_3,16:30:00,16:30:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_4,16:52:00,16:52:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_4,17:00:00,17:00:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_5,17:22:00,17:22:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_5,17:30:00,17:30:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_6,17:52:00,17:52:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_6,18:00:00,18:00:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_7,18:22:00,18:22:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_7,18:30:00,18:30:00,2439146,1,,0,0,3.8361,1,,
t_5897047_b_83015_tn_8,18:52:00,18:52:00,2439141,0,,0,0,0.0,1,,
t_5897047_b_83015_tn_8,19:00:00,19:00:00,2439146,1,,0,0,3.8361,1,,
t_5897046_b_83015_tn_1,06:15:00,06:15:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_1,06:23:00,06:23:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_2,06:45:00,06:45:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_2,06:53:00,06:53:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_3,07:15:00,07:15:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_3,07:23:00,07:23:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_4,07:45:00,07:45:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_4,07:53:00,07:53:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_5,08:15:00,08:15:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_5,08:23:00,08:23:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_6,08:45:00,08:45:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_6,08:53:00,08:53:00,2439141,1,,0,0,3.6649,1,,
t_5897046_b_83015_tn_7,09:15:00,09:15:00,2439146,0,,0,0,0.0,1,,
t_5897046_b_83015_tn_7,09:23:00,09:23:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_1,15:30:00,15:30:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_1,15:38:00,15:38:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_2,16:00:00,16:00:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_2,16:08:00,16:08:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_3,16:30:00,16:30:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_3,16:38:00,16:38:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_4,17:00:00,17:00:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_4,17:08:00,17:08:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_5,17:30:00,17:30:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_5,17:38:00,17:38:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_6,18:00:00,18:00:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_6,18:08:00,18:08:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_7,18:30:00,18:30:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_7,18:38:00,18:38:00,2439141,1,,0,0,3.6649,1,,
t_5897244_b_83015_tn_8,19:00:00,19:00:00,2439146,0,,0,0,0.0,1,,
t_5897244_b_83015_tn_8,19:08:00,19:08:00,2439141,1,,0,0,3.6649,1,,
5ev03dq,04:40:00,04:40:00,55,0,,,,0.0,1,,
5ev03dq,04:44:00,04:44:00,4251907,1,,,,0.5369,1,,
f507vp6,04:44:00,04:44:00,4251907,0,,,,0.0,1,,
f507vp6,,,39,1,,,,1.7712,0,,
f507vp6,,,40,2,,,,2.0481,0,,
f507vp6,,,41,3,,,,2.5125,0,,
f507vp6,,,42,4,,,,2.6333,0,,
f507vp6,04:55:00,04:55:00,43,5,,,,4.4815,1,,
f507vp6,,,44,6,,,,6.5283,0,,
f507vp6,,,45,7,,,,8.1544,0,,
f507vp6,05:05:00,05:05:00,46,8,,,,8.7225,1,,
f507vp6,05:09:00,05:09:00,47,9,,,,12.3993,1,,
f507vp6,,,48,10,,,,12.8618,0,,
f507vp6,,,49,11,,,,13.3175,0,,
f507vp6,,,50,12,,,,14.3149,0,,
f507vp6,,,51,13,,,,16.6471,0,,
f507vp6,05:19:00,05:19:00,52,14,,,,17.241,1,,
f507vp6,,,53,15,,,,17.5224,0,,
f507vp6,05:25:00,05:25:00,36,16,,,,18.676,1,,
f507vp6,,,37,17,,,,19.4613,0,,
f507vp6,,,38,18,,,,19.7458,0,,
f507vp6,05:30:00,05:30:00,54,19,,,,20.3288,1,,
f507vp6,05:37:00,05:37:00,34,20,,,,21.7094,1,,
f507vp6,05:40:00,05:40:00,55,21,,,,22.1055,1,,
f507vp6,05:44:00,05:44:00,4251907,22,,,,22.6424,1,,
gm0wrpe,05:44:00,05:44:00,4251907,0,,,,0.0,1,,
gm0wrpe,,,39,1,,,,1.7712,0,,
gm0wrpe,,,40,2,,,,2.0481,0,,
gm0wrpe,,,41,3,,,,2.5125,0,,
gm0wrpe,,,42,4,,,,2.6333,0,,
gm0wrpe,05:55:00,05:55:00,43,5,,,,4.4815,1,,
gm0wrpe,,,44,6,,,,6.5283,0,,
gm0wrpe,,,45,7,,,,8.1544,0,,
gm0wrpe,06:05:00,06:05:00,46,8,,,,8.7225,1,,
gm0wrpe,06:09:00,06:09:00,47,9,,,,12.3993,1,,
gm0wrpe,,,48,10,,,,12.8618,0,,
gm0wrpe,,,49,11,,,,13.3175,0,,
gm0wrpe,,,50,12,,,,14.3149,0,,
gm0wrpe,,,51,13,,,,16.6471,0,,
gm0wrpe,06:19:00,06:19:00,52,14,,,,17.241,1,,
gm0wrpe,,,53,15,,,,17.5224,0,,
gm0wrpe,06:25:00,06:25:00,36,16,,,,18.676,1,,
gm0wrpe,,,37,17,,,,19.4613,0,,
gm0wrpe,,,38,18,,,,19.7458,0,,
gm0wrpe,06:30:00,06:30:00,54,19,,,,20.3288,1,,
gm0wrpe,06:37:00,06:37:00,34,20,,,,21.7094,1,,
gm0wrpe,06:40:00,06:40:00,55,21,,,,22.1055,1,,
gm0wrpe,06:44:00,06:44:00,4251907,22,,,,22.6424,1,,
7fk5j5m,06:44:00,06:44:00,4251907,0,,,,0.0,1,,
7fk5j5m,,,39,1,,,,1.7712,0,,
7fk5j5m,,,40,2,,,,2.0481,0,,
7fk5j5m,,,41,3,,,,2.5125,0,,
7fk5j5m,,,42,4,,,,2.6333,0,,
7fk5j5m,06:55:00,06:55:00,43,5,,,,4.4815,1,,
7fk5j5m,,,44,6,,,,6.5283,0,,
7fk5j5m,,,45,7,,,,8.1544,0,,
