route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10218,(Weekday),t_5897048_b_83015_tn_1,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_2,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_3,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_4,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_5,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_6,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_7,,,0,,1,,
10218,(Weekday),t_5897048_b_83015_tn_8,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_1,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_2,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_3,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_4,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_5,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_6,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_7,,,0,,1,,
10218,(Weekday),t_5897047_b_83015_tn_8,,,0,,1,,
10218,(Weekday),t_5897046_b_83015_tn_1,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_2,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_3,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_4,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_5,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_6,,,1,,2,,
10218,(Weekday),t_5897046_b_83015_tn_7,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_1,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_2,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_3,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_4,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_5,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_6,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_7,,,1,,2,,
10218,(Weekday),t_5897244_b_83015_tn_8,,,1,,2,,
South Amboy,(Weekday),5ev03dq,,,0,,3,,
South Amboy,(Weekday),f507vp6,,,0,,4,,
South Amboy,(Weekday),gm0wrpe,,,0,,4,,
South Amboy,(Weekday),7fk5j5m,,,0,,4,,
South Amboy,(Weekday),sv0f744,,,0,,5,,
South Amboy,(Weekday),nj5co1q,,,0,,6,,
South Amboy,(Weekday),zqgpt79,,,0,,4,,
South Amboy,(Weekday),xl9d5eb,,,0,,4,,
South Amboy,(Weekday),02qzmr5,,,0,,4,,
South Amboy,(Weekday),8y79vv6,,,0,,7,,
Intra-site/Jacobs Bulls Ferry,(Weekday),loqqnu6,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),m9egon5,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),8y57tsq,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),zb81urs,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),wxgx9s5,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),ihz0l37,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),xbqp781,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),eoo8kyo,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),2d67m4z,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),h4ohf48,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),3lz0vfj,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),6a5j8h0,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),y8dq0ms,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),mvancn5,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),rd55iyr,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),5dfxexw,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),81ibcto,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),5dyyksw,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),yh5blqx,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),f3d0zot,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),qskar7y,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),2oglcs4,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),gyaygrh,,,0,,8,,
Intra-site/Jacobs Bulls Ferry,(Weekday),78ykisa,,,0,,8,,
10216,(Weekday),t_5897292_b_83015_tn_1,,,0,,9,,
10216,(Weekday),t_5897294_b_83015_tn_1,,,0,,10,,
10216,(Weekday),t_5897292_b_83015_tn_2,,,0,,9,,
10216,(Weekday),t_5897294_b_83015_tn_2,,,0,,10,,
10216,(Weekday),t_5897292_b_83015_tn_3,,,0,,9,,
10216,(Weekday),t_5897294_b_83015_tn_3,,,0,,10,,
10216,(Weekday),t_5897292_b_83015_tn_4,,,0,,9,,
10216,(Weekday),t_5897294_b_83015_tn_4,,,0,,10,,
10216,(Weekday),t_5897292_b_83015_tn_5,,,0,,9,,
10216,(Weekday),t_5897294_b_83015_tn_5,,,0,,10,,
10216,(Weekday),t_5897293_b_83015_tn_1,,,0,,9,,
10216,(Weekday),t_5897293_b_83015_tn_2,,,0,,9,,
10216,(Weekday),t_5897295_b_83015_tn_1,,,0,,10,,
10216,(Weekday),t_5897293_b_83015_tn_3,,,0,,9,,
10216,(Weekday),t_5897295_b_83015_tn_2,,,0,,10,,
10216,(Weekday),t_5897293_b_83015_tn_4,,,0,,9,,
10216,(Weekday),t_5897295_b_83015_tn_3,,,0,,10,,
10216,(Weekday),t_5897293_b_83015_tn_5,,,0,,9,,
10216,(Weekday),t_5897295_b_83015_tn_4,,,0,,10,,
10216,(Weekday),t_5897293_b_83015_tn_6,,,0,,9,,
10216,(Weekday),t_5897295_b_83015_tn_5,,,0,,10,,
77347,(Weekday),t_6016003_b_83015_tn_0,,,0,,11,,
77347,(Weekday),t_6016004_b_83015_tn_0,,,0,,11,,
77347,(Weekday),t_6016005_b_83015_tn_0,,,0,,12,,
77347,(Weekday),t_6016006_b_83015_tn_0,,,0,,12,,
77347,(Weekday),t_6016007_b_83015_tn_0,,,0,,13,,
77347,(Weekday),t_6016008_b_83015_tn_0,,,0,,13,,
77347,(Weekday),t_6016009_b_83015_tn_0,,,0,,14,,
77347,(Weekday),t_6016010_b_83015_tn_0,,,0,,14,,
77347,(Weekday),ipxjdey,,,0,,11,,
77347,(Weekday),a6e2c33,,,0,,11,,
77347,(Weekday),1qbkmlx,,,0,,11,,
77347,(Weekday),7hsa08j,,,0,,11,,
77347,(Weekday),uztw9y2,,,0,,14,,
77347,(Weekday),idn3obc,,,0,,14,,
77347,(Weekday),71ds2pm,,,0,,14,,
77347,(Weekday),fi7tuss,,,0,,14,,
32379,(Weekday),t_5897379_b_83015_tn_1,,,0,,15,,
32379,(Weekday),t_5897379_b_83015_tn_2,,,0,,15,,
